Date,units
2014-7-31,432
2014-8-1,581
2014-8-2,96
2014-8-3,602
2014-8-4,1947
2014-8-5,1310
2014-8-6,2444
2014-8-7,1539
2014-8-8,147
2014-8-9,44
2014-8-10,82
2014-8-11,1443
2014-8-12,1919
2014-8-13,1277
2014-8-14,258
2014-8-15,62023
2014-8-16,54
2014-8-17,609
2014-8-18,1767
2014-8-19,2812
2014-8-20,9594
2014-8-21,855
2014-8-22,68
2014-8-23,13
2014-8-24,895
2014-8-25,443
2014-8-26,354
2014-8-27,931
2014-8-28,237
2014-8-29,3086
2014-8-30,56
2014-8-31,720
2014-9-1,2029
2014-9-2,2858
2014-9-3,5602
2014-9-4,897
2014-9-5,52
2014-9-6,17
2014-9-7,292
2014-9-8,2198
2014-9-9,981
2014-9-10,1683
2014-9-11,54460
2014-9-12,11002
2014-9-13,44
2014-9-14,779
2014-9-15,82990
2014-9-16,464
2014-9-17,3524
2014-9-18,862
2014-9-19,9
2014-9-20,70
2014-9-21,468
2014-9-22,2723
2014-9-23,1324
2014-9-24,7754
2014-9-25,1892
2014-9-26,15
2014-9-27,58
2014-9-28,1111
2014-9-29,3426
2014-9-30,1655
2014-10-1,1777
2014-10-2,789
2014-10-3,13
2014-10-4,10
2014-10-5,1111
2014-10-6,2457
2014-10-7,1224
2014-10-8,575
2014-10-9,573
2014-10-10,5
2014-10-11,90
2014-10-12,386
2014-10-13,1765
2014-10-14,1790
2014-10-15,67584
2014-10-16,472
2014-10-17,231
2014-10-18,42
2014-10-19,1021
2014-10-20,465
2014-10-21,1164
2014-10-22,10472
2014-10-23,873
2014-10-24,523
2014-10-25,40
2014-10-26,679
2014-10-27,920
2014-10-28,2814
2014-10-29,595
2014-10-30,1497
2014-10-31,22
2014-11-1,17
2014-11-2,131
2014-11-3,7147
2014-11-4,1643
2014-11-5,2219
2014-11-6,1165
2014-11-7,100
2014-11-8,52
2014-11-9,38
2014-11-10,3243
2014-11-11,1005
2014-11-12,2829
2014-11-13,1843
2014-11-14,62
2014-11-15,74244
2014-11-16,86
2014-11-17,2013
2014-11-18,3164
2014-11-19,5742
2014-11-20,1574
2014-11-21,101
2014-11-22,102
2014-11-23,1060
2014-11-24,1219
2014-11-25,1281
2014-11-26,1190
2014-11-27,1198
2014-11-28,52
2014-11-29,78
2014-12-1,1148
2014-12-2,2102
2014-12-3,4610
2014-12-4,865
2014-12-5,94
2014-12-6,45
2014-12-7,902
2014-12-8,2811
2014-12-9,1557
2014-12-10,323
2014-12-11,1482
2014-12-12,50
2014-12-14,37
2014-12-15,64666
2014-12-16,1532
2014-12-17,5378
2014-12-18,1836
2014-12-19,81
2014-12-20,51
2014-12-21,180
2014-12-22,436
2014-12-23,2281
2014-12-24,8
2014-12-25,381
2014-12-26,88
2014-12-27,68
2014-12-28,1387
2014-12-29,46
2014-12-30,1373
2014-12-31,432
2015-1-1,189
2015-1-2,31
2015-1-3,116
2015-1-4,262
2015-1-5,1987
2015-1-6,849
2015-1-7,2693
2015-1-8,3428
2015-1-9,60
2015-1-10,84
2015-1-11,1437
2015-1-12,1354
2015-1-13,2108
2015-1-14,1977
2015-1-15,84661
2015-1-16,71
2015-1-17,116
2015-1-18,84
2015-1-19,1992
2015-1-20,923
2015-1-21,1218
2015-1-22,3112
2015-1-23,917
2015-1-24,19
2015-1-25,465
2015-1-26,103
2015-1-27,1370
2015-1-28,1039
2015-1-29,2669
2015-1-30,118
2015-1-31,23
2015-2-1,179
2015-2-2,683
2015-2-3,1232
2015-2-4,1372
2015-2-5,2183
2015-2-6,3
2015-2-9,2092
2015-2-10,1938
2015-2-11,1543
2015-2-12,1272
2015-2-13,110
2015-2-14,20
2015-2-15,132206
2015-2-16,681
2015-2-17,1404
2015-2-18,1549
2015-2-19,6206
2015-2-20,926
2015-2-21,46
2015-2-22,457
2015-2-23,1268
2015-2-24,809
2015-2-25,1765
2015-2-26,1387
2015-2-27,49
2015-3-1,257
2015-3-2,1753
2015-3-3,1599
2015-3-4,1662
2015-3-5,2745
2015-3-6,211
2015-3-7,240
2015-3-8,1004
2015-3-9,1345
2015-3-10,2774
2015-3-11,1902
2015-3-12,1473
2015-3-13,57
2015-3-14,24
2015-3-15,88571
2015-3-16,7464
2015-3-17,800
2015-3-18,1260
2015-3-19,6270
2015-3-20,138
2015-3-21,66
2015-3-22,89
2015-3-23,571
2015-3-24,1949
2015-3-25,763
2015-3-26,769
2015-3-27,1261
2015-3-28,58
2015-3-29,1534
2015-3-30,281
2015-3-31,1383
2015-4-1,5818
2015-4-2,3865
2015-4-3,31
2015-4-4,45
2015-4-5,61
2015-4-6,2188
2015-4-7,7677
2015-4-8,2057
2015-4-9,1039
2015-4-10,3078
2015-4-11,22
2015-4-12,524
2015-4-13,3947
2015-4-14,5448
2015-4-15,15851
